Kategori,Alt_Kategori,Marka,Model,Fiyat_TL,Segment,Kullanim_Amaci,Soket,RAM_Tipi,Watt,Kapasite,Uyumluluk,Ozellik,Puan,Yorum_Sayisi,Garanti_Yil,RGB,Boyut,Cozunurluk,Hz,VRAM,Okuma_Hizi,Yazma_Hizi,Kaynak,Fiyat_Guncelleme_Tarihi,Fiyat_Notu,Akakce_Arama_Link,Hepsiburada_Arama_Link,Amazon_Arama_Link,Teknosa_Arama_Link,Vatan_Arama_Link,Itopya_Arama_Link,Incehesap_Arama_Link,Sinerji_Arama_Link
Toplama Bilgisayar,RAM,TeamGroup,Ballistix 8GB 1x8GB DDR4 3200MHz,875,Giriş,Yazılım,,DDR4,,8GB,DDR4,3200MHz bellek kiti,8.0,723,2,Var,,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.hepsiburada.com/ara?q=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.amazon.com.tr/s?k=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.teknosa.com/arama/?s=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.vatanbilgisayar.com/arama/TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.itopya.com/Arama?q=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.incehesap.com/arama/?q=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz,https://www.sinerji.gen.tr/arama?q=TeamGroup+Ballistix+8GB+1x8GB+DDR4+3200MHz
Toplama Bilgisayar,Ekran Kartı,Gigabyte,RX 9070 XT Pulse 16GB,78000,Amiral,Yayıncılık,,GDDR6,304,16GB,PCIe,2026 RDNA üst seviye,9.7,1811,3,Var,,,,16GB,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Gigabyte+RX+9070+XT+Pulse+16GB,https://www.hepsiburada.com/ara?q=Gigabyte+RX+9070+XT+Pulse+16GB,https://www.amazon.com.tr/s?k=Gigabyte+RX+9070+XT+Pulse+16GB,https://www.teknosa.com/arama/?s=Gigabyte+RX+9070+XT+Pulse+16GB,https://www.vatanbilgisayar.com/arama/Gigabyte+RX+9070+XT+Pulse+16GB,https://www.itopya.com/Arama?q=Gigabyte+RX+9070+XT+Pulse+16GB,https://www.incehesap.com/arama/?q=Gigabyte+RX+9070+XT+Pulse+16GB,https://www.sinerji.gen.tr/arama?q=Gigabyte+RX+9070+XT+Pulse+16GB
Toplama Bilgisayar,Monitör,Lenovo,UltraGear 32 inç 1920x1080 180Hz,5700,Orta,Tasarım,,,35,,HDMI-DP,"VA panel, 180Hz",7.9,8284,2,Yok,32 inç,1920x1080,180Hz,,,,Vatan,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.hepsiburada.com/ara?q=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.amazon.com.tr/s?k=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.teknosa.com/arama/?s=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.vatanbilgisayar.com/arama/Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.itopya.com/Arama?q=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.incehesap.com/arama/?q=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz,https://www.sinerji.gen.tr/arama?q=Lenovo+UltraGear+32+in%C3%A7+1920x1080+180Hz
Toplama Bilgisayar,Kasa,DarkFlash,H5 Flow RGB,2000,Giriş,Ofis,,,,,Micro ATX,"Mid Tower, mesh/airflow odaklı kasa",8.1,2326,2,Var,Mid Tower,,,,,,İncehesap,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=DarkFlash+H5+Flow+RGB,https://www.hepsiburada.com/ara?q=DarkFlash+H5+Flow+RGB,https://www.amazon.com.tr/s?k=DarkFlash+H5+Flow+RGB,https://www.teknosa.com/arama/?s=DarkFlash+H5+Flow+RGB,https://www.vatanbilgisayar.com/arama/DarkFlash+H5+Flow+RGB,https://www.itopya.com/Arama?q=DarkFlash+H5+Flow+RGB,https://www.incehesap.com/arama/?q=DarkFlash+H5+Flow+RGB,https://www.sinerji.gen.tr/arama?q=DarkFlash+H5+Flow+RGB
Toplama Bilgisayar,Kasa,DarkFlash,Meshify Black,3500,Orta,Yazılım,,,,,ATX,"Mid Tower, mesh/airflow odaklı kasa",7.3,6128,2,Yok,Mid Tower,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=DarkFlash+Meshify+Black,https://www.hepsiburada.com/ara?q=DarkFlash+Meshify+Black,https://www.amazon.com.tr/s?k=DarkFlash+Meshify+Black,https://www.teknosa.com/arama/?s=DarkFlash+Meshify+Black,https://www.vatanbilgisayar.com/arama/DarkFlash+Meshify+Black,https://www.itopya.com/Arama?q=DarkFlash+Meshify+Black,https://www.incehesap.com/arama/?q=DarkFlash+Meshify+Black,https://www.sinerji.gen.tr/arama?q=DarkFlash+Meshify+Black
Toplama Bilgisayar,SSD,Lexar,990 Pro 2TB NVMe,5100,Üst,Tasarım,,,5,2TB,M2 NVMe,PCIe 4.0 NVMe SSD,9.4,11684,5,Yok,,,,,6175 MB/s,4715 MB/s,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Lexar+990+Pro+2TB+NVMe,https://www.hepsiburada.com/ara?q=Lexar+990+Pro+2TB+NVMe,https://www.amazon.com.tr/s?k=Lexar+990+Pro+2TB+NVMe,https://www.teknosa.com/arama/?s=Lexar+990+Pro+2TB+NVMe,https://www.vatanbilgisayar.com/arama/Lexar+990+Pro+2TB+NVMe,https://www.itopya.com/Arama?q=Lexar+990+Pro+2TB+NVMe,https://www.incehesap.com/arama/?q=Lexar+990+Pro+2TB+NVMe,https://www.sinerji.gen.tr/arama?q=Lexar+990+Pro+2TB+NVMe
Toplama Bilgisayar,Güç Kaynağı,DeepCool,Focus GX 450W 80+ Bronze,2600,Giriş,Oyun,,,450W,,80+ Bronze,"Yarı modüler PSU, 80+ Bronze",7.9,959,7,Yok,,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.hepsiburada.com/ara?q=DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.amazon.com.tr/s?k=DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.teknosa.com/arama/?s=DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.vatanbilgisayar.com/arama/DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.itopya.com/Arama?q=DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.incehesap.com/arama/?q=DeepCool+Focus+GX+450W+80%2B+Bronze,https://www.sinerji.gen.tr/arama?q=DeepCool+Focus+GX+450W+80%2B+Bronze
Toplama Bilgisayar,Kasa,Cooler Master,CH370 Mesh,3650,Orta,Günlük Kullanım,,,,,Micro ATX,"Mini Tower, mesh/airflow odaklı kasa",7.9,1561,2,Var,Mini Tower,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Cooler+Master+CH370+Mesh,https://www.hepsiburada.com/ara?q=Cooler+Master+CH370+Mesh,https://www.amazon.com.tr/s?k=Cooler+Master+CH370+Mesh,https://www.teknosa.com/arama/?s=Cooler+Master+CH370+Mesh,https://www.vatanbilgisayar.com/arama/Cooler+Master+CH370+Mesh,https://www.itopya.com/Arama?q=Cooler+Master+CH370+Mesh,https://www.incehesap.com/arama/?q=Cooler+Master+CH370+Mesh,https://www.sinerji.gen.tr/arama?q=Cooler+Master+CH370+Mesh
Toplama Bilgisayar,Monitör,Lenovo,Alienware 31.5 inç 1920x1080 75Hz,2900,Giriş,Yazılım,,,35,,HDMI-DP,"VA panel, 75Hz",7.0,1516,3,Yok,31.5 inç,1920x1080,75Hz,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.hepsiburada.com/ara?q=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.amazon.com.tr/s?k=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.teknosa.com/arama/?s=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.vatanbilgisayar.com/arama/Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.itopya.com/Arama?q=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.incehesap.com/arama/?q=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz,https://www.sinerji.gen.tr/arama?q=Lenovo+Alienware+31.5+in%C3%A7+1920x1080+75Hz
Toplama Bilgisayar,Güç Kaynağı,FSP,RM 750W 80+ Platinum,5300,Orta,Günlük Kullanım,,,750W,,80+ Platinum,"Sabit kablo PSU, 80+ Platinum",8.5,6997,2,Yok,,,,,,,Vatan,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=FSP+RM+750W+80%2B+Platinum,https://www.hepsiburada.com/ara?q=FSP+RM+750W+80%2B+Platinum,https://www.amazon.com.tr/s?k=FSP+RM+750W+80%2B+Platinum,https://www.teknosa.com/arama/?s=FSP+RM+750W+80%2B+Platinum,https://www.vatanbilgisayar.com/arama/FSP+RM+750W+80%2B+Platinum,https://www.itopya.com/Arama?q=FSP+RM+750W+80%2B+Platinum,https://www.incehesap.com/arama/?q=FSP+RM+750W+80%2B+Platinum,https://www.sinerji.gen.tr/arama?q=FSP+RM+750W+80%2B+Platinum
Toplama Bilgisayar,İşlemci,Intel,Core i5-13400F Kampanya,6800,Orta,Günlük Kullanım,LGA1700,DDR4,65,,LGA1700-DDR4,10 çekirdek,7.5,4399,3,Yok,,,,,,,Akakçe,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Intel+Core+i5-13400F+Kampanya,https://www.hepsiburada.com/ara?q=Intel+Core+i5-13400F+Kampanya,https://www.amazon.com.tr/s?k=Intel+Core+i5-13400F+Kampanya,https://www.teknosa.com/arama/?s=Intel+Core+i5-13400F+Kampanya,https://www.vatanbilgisayar.com/arama/Intel+Core+i5-13400F+Kampanya,https://www.itopya.com/Arama?q=Intel+Core+i5-13400F+Kampanya,https://www.incehesap.com/arama/?q=Intel+Core+i5-13400F+Kampanya,https://www.sinerji.gen.tr/arama?q=Intel+Core+i5-13400F+Kampanya
Toplama Bilgisayar,Klavye,MSI,MOD007 Pro Optik switch 60%,5500,Üst,Oyun,,,,,Kablosuz,Optik switch klavye,8.5,5111,2,Yok,60%,,,,,,İtopya,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=MSI+MOD007+Pro+Optik+switch+60%25,https://www.hepsiburada.com/ara?q=MSI+MOD007+Pro+Optik+switch+60%25,https://www.amazon.com.tr/s?k=MSI+MOD007+Pro+Optik+switch+60%25,https://www.teknosa.com/arama/?s=MSI+MOD007+Pro+Optik+switch+60%25,https://www.vatanbilgisayar.com/arama/MSI+MOD007+Pro+Optik+switch+60%25,https://www.itopya.com/Arama?q=MSI+MOD007+Pro+Optik+switch+60%25,https://www.incehesap.com/arama/?q=MSI+MOD007+Pro+Optik+switch+60%25,https://www.sinerji.gen.tr/arama?q=MSI+MOD007+Pro+Optik+switch+60%25
Toplama Bilgisayar,Mouse,ASUS,Rival Pro 8000DPI,4450,Üst,Ofis,,,,,USB,"8000 DPI sensör, 90g",8.8,7244,2,Yok,,,,,,,Vatan,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=ASUS+Rival+Pro+8000DPI,https://www.hepsiburada.com/ara?q=ASUS+Rival+Pro+8000DPI,https://www.amazon.com.tr/s?k=ASUS+Rival+Pro+8000DPI,https://www.teknosa.com/arama/?s=ASUS+Rival+Pro+8000DPI,https://www.vatanbilgisayar.com/arama/ASUS+Rival+Pro+8000DPI,https://www.itopya.com/Arama?q=ASUS+Rival+Pro+8000DPI,https://www.incehesap.com/arama/?q=ASUS+Rival+Pro+8000DPI,https://www.sinerji.gen.tr/arama?q=ASUS+Rival+Pro+8000DPI
Toplama Bilgisayar,Kasa,Phanteks,CH370 Mesh,4300,Orta,Ofis,,,,,E-ATX,"Mini Tower, mesh/airflow odaklı kasa",8.8,4931,2,Yok,Mini Tower,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Phanteks+CH370+Mesh,https://www.hepsiburada.com/ara?q=Phanteks+CH370+Mesh,https://www.amazon.com.tr/s?k=Phanteks+CH370+Mesh,https://www.teknosa.com/arama/?s=Phanteks+CH370+Mesh,https://www.vatanbilgisayar.com/arama/Phanteks+CH370+Mesh,https://www.itopya.com/Arama?q=Phanteks+CH370+Mesh,https://www.incehesap.com/arama/?q=Phanteks+CH370+Mesh,https://www.sinerji.gen.tr/arama?q=Phanteks+CH370+Mesh
Toplama Bilgisayar,Mouse,Darmoshark,G Pro X Superlight Wireless 8000DPI,1300,Orta,Günlük Kullanım,,,,,Bluetooth,"8000 DPI sensör, 59g",7.9,6333,2,Yok,,,,,,,Sinerji,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.hepsiburada.com/ara?q=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.amazon.com.tr/s?k=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.teknosa.com/arama/?s=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.vatanbilgisayar.com/arama/Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.itopya.com/Arama?q=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.incehesap.com/arama/?q=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI,https://www.sinerji.gen.tr/arama?q=Darmoshark+G+Pro+X+Superlight+Wireless+8000DPI
Toplama Bilgisayar,Ekran Kartı,Gainward,RX 6600 Aero OC 8GB,11700,Giriş,Video Edit,,GDDR6,132,8GB,PCIe,1080p fiyat performans,8.0,737,3,Var,,,,8GB,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Gainward+RX+6600+Aero+OC+8GB,https://www.hepsiburada.com/ara?q=Gainward+RX+6600+Aero+OC+8GB,https://www.amazon.com.tr/s?k=Gainward+RX+6600+Aero+OC+8GB,https://www.teknosa.com/arama/?s=Gainward+RX+6600+Aero+OC+8GB,https://www.vatanbilgisayar.com/arama/Gainward+RX+6600+Aero+OC+8GB,https://www.itopya.com/Arama?q=Gainward+RX+6600+Aero+OC+8GB,https://www.incehesap.com/arama/?q=Gainward+RX+6600+Aero+OC+8GB,https://www.sinerji.gen.tr/arama?q=Gainward+RX+6600+Aero+OC+8GB
Toplama Bilgisayar,RAM,Crucial,NOX 8GB 1x8GB DDR5 6000MHz,1450,Giriş,Ofis,,DDR5,,8GB,DDR5,6000MHz bellek kiti,6.5,1657,3,Yok,,,,,,,GamingGenTR,2026-05-12,Canlı API değil; güvenilir site arama linkleriyle kontrol edilecek piyasa ortalaması.,https://www.akakce.com/arama/?q=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.hepsiburada.com/ara?q=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.amazon.com.tr/s?k=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.teknosa.com/arama/?s=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.vatanbilgisayar.com/arama/Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.itopya.com/Arama?q=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.incehesap.com/arama/?q=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz,https://www.sinerji.gen.tr/arama?q=Crucial+NOX+8GB+1x8GB+DDR5+6000MHz
