ID,Kategori,Model,Segment,Kullanım Amacı,İşlemci,RAM,Depolama,GPU,Ekran,İşletim Sistemi,Fiyat (TL),Batarya (mAh),Kamera (MP),5G,NFC,Su Geçirmezlik,GPS,Kulaklık Tipi,Sürücü Boyutu,Frekans Yanıtı,Gürültü Engelleme,Mikrofon,Bağlantı Türü,Pil Ömrü,Pil Ömrü (gün)
32,Telefon,iPhone Air 256GB,Amiral Gemisi,Günlük Kullanım,Apple A19 Pro,8GB,256GB,,6.5 inç Super Retina XDR OLED 120Hz,iOS 18,107479,2830,48MP,Evet,Evet,IP68,,,,,,,,,
33,Tablet,Xiaomi Pad 7 Wi-Fi 128GB,Orta Segment,Medya Tüketimi,Snapdragon 7s Gen 3,8GB,128GB,,11.2 inç IPS 144Hz,Android 15,11067,,,Hayır,Hayır,Yok,,,,,,,,,
34,Telefon,Samsung Galaxy A17 5G 256GB,Giriş Seviyesi,Bütçe Dostu,Exynos 1280,8GB,256GB,,6.5 inç Super AMOLED 90Hz,Android 15,13464,5000,50+5+2MP,Evet,Hayır,Yok,,,,,,,,,
35,Akıllı Saat / Bileklik,Samsung Galaxy Fit 3,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2488,,,,,5ATM,Hayır,,,,,,,,13
36,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,68388,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
37,Bilgisayar,Lenovo Yoga 7 2-in-1 i5,Üst Segment,İçerik Üretimi,Intel Core i5-1335U,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,30838,,,,,,,,,,,,,,
38,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,154565,,,,,,,,,,,,,,
39,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,157493,,,,,,,,,,,,,,
40,Bilgisayar,Dell XPS 13 i7,Üst Segment,Yazılım Geliştirme,Intel Core i7-1360P,16GB,512GB SSD,Intel Iris Xe Graphics,13.4 inç FHD+ OLED 60Hz,Windows 11 Pro,53055,,,,,,,,,,,,,,
41,Akıllı Saat / Bileklik,Huawei Watch GT 5 Pro 46mm,Üst Segment,Sağlık Takibi,Kirin A2,,,,,HarmonyOS Watch,10916,,,,,5ATM,Evet,,,,,,,,14
42,Bilgisayar,MSI Raider GE78 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,17.3 inç QHD+ MiniLED 240Hz,Windows 11 Home,121960,,,,,,,,,,,,,,
43,Bilgisayar,Razer Blade 16 RTX 4090,Oyuncu,Oyun & Akış,Intel Core i9-14900HX,32GB,2TB SSD,NVIDIA RTX 4090 16GB,16 inç 4K MiniLED 240Hz,Windows 11 Home,156701,,,,,,,,,,,,,,
44,Tablet,Apple iPad Pro M4 11 Wi-Fi 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,50327,,,Hayır,Evet,IP68,,,,,,,,,
45,Telefon,Samsung Galaxy S24 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Gen 3,12GB,256GB,,6.8 inç Dynamic AMOLED 2X 120Hz,Android 14,67245,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
46,Tablet,Samsung Galaxy Tab A9 Wi-Fi 64GB,Giriş Seviyesi,Medya Tüketimi,MediaTek Helio G99,4GB,64GB,,8.7 inç TFT IPS 90Hz,Android 13,6012,,,Hayır,Hayır,Yok,,,,,,,,,
47,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,22207,,,Hayır,Evet,IP68,,,,,,,,,
48,Bilgisayar,Acer Aspire 3 A315 i3,Bütçe,Öğrenci,Intel Core i3-1315U,8GB,512GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13082,,,,,,,,,,,,,,
49,Akıllı Saat / Bileklik,Apple Watch Series 10 46mm GPS,Üst Segment,Fitness & Spor,Apple S10,,,,,watchOS 11,24903,,,,,WR50,Evet,,,,,,,,18
50,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,16924,,,,,10ATM,Evet,,,,,,,,40
51,Akıllı Saat / Bileklik,Xiaomi Smart Band 9,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,1190,,,,,5ATM,Hayır,,,,,,,,21
52,Kulaklık,Sennheiser MTW4,Üst Segment,Müzik Dinleme,,,,,,,7869,,,,,,,TWS,7mm,5Hz-21kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.4,7.5 saat (kılıfla 30),
53,Kulaklık,Jabra Evolve2 85,Premium & Hi-Fi,İş & Video Konferans,,,,,,,13792,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,8 mikrofon,Bluetooth 5.0,37 saat,
54,Kulaklık,Samsung Galaxy Buds 4 Pro,Üst Segment,Günlük Kullanım,,,,,,,10582,,,,,,,TWS,10.5mm,20Hz-24kHz,Adaptif ANC,4 mikrofon,Bluetooth 5.4,6 saat (kılıfla 26),
55,Telefon,Samsung Galaxy S25 FE 256GB,Üst Segment,Günlük Kullanım,Exynos 2500,8GB,256GB,,6.7 inç Dynamic AMOLED 120Hz,Android 15,32392,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
56,Bilgisayar,LG Gram 14 i5,Üst Segment,Uzaktan Çalışma,Intel Core i5-1340P,16GB,512GB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Home,39768,,,,,,,,,,,,,,
57,Akıllı Saat / Bileklik,Apple Watch Series 10 46mm GPS,Üst Segment,Fitness & Spor,Apple S10,,,,,watchOS 11,25349,,,,,WR50,Evet,,,,,,,,18
58,Akıllı Saat / Bileklik,Polar Grit X2 Pro,Premium & Spor,Outdoor & Doğa,—,,,,,Polar OS,17603,,,,,10ATM,Evet,,,,,,,,140
59,Telefon,Asus ROG Phone 9 Pro 512GB,Amiral Gemisi,Oyun,Snapdragon 8 Elite,16GB,512GB,,6.78 inç AMOLED 185Hz,Android 15,56048,5800,50+13+5MP,Evet,Evet,IP54,,,,,,,,,
60,Telefon,Samsung Galaxy S25+ 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.7 inç Dynamic AMOLED 2X 120Hz,Android 15,65116,4900,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
61,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,33644,,,,,,,,,,,,,,
62,Akıllı Saat / Bileklik,Suunto Race S,Premium & Spor,Koşu & Antrenman,—,,,,,Suunto OS,16986,,,,,10ATM,Evet,,,,,,,,40
63,Telefon,iPhone 17 Pro Max 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,161724,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
64,Akıllı Saat / Bileklik,Xiaomi Smart Band 9 Pro,Giriş Seviyesi,Fitness Takibi,—,,,,,RTOS,2242,,,,,5ATM,Evet,,,,,,,,21
65,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,10163,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
66,Kulaklık,Sennheiser Momentum 4,Üst Segment,Müzik Dinleme,,,,,,,10035,,,,,,,Kulak Üstü Kablosuz,42mm,6Hz-22kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.2,60 saat,
67,Kulaklık,Sony WH-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,10999,,,,,,,Kulak Üstü Kablosuz,30mm,4Hz-40kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.2,30 saat,
68,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,57947,,,,,,,,,,,,,,
69,Kulaklık,Sony WF-1000XM5,Üst Segment,Müzik Dinleme,,,,,,,9931,,,,,,,TWS,8.4mm,20Hz-20kHz,Hibrit ANC,5 mikrofon,Bluetooth 5.3,8 saat (kılıfla 24),
70,Telefon,OnePlus 13 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.82 inç LTPO AMOLED 120Hz,Android 15,39241,6000,50+50+50MP,Evet,Evet,IP65,,,,,,,,,
71,Telefon,Nothing CMF Phone 2 128GB,Giriş Seviyesi,Bütçe Dostu,MediaTek Dimensity 7300 Pro,6GB,128GB,,6.67 inç AMOLED 120Hz,Android 15,8302,5000,50+2MP,Evet,Hayır,IP52,,,,,,,,,
72,Kulaklık,Beyerdynamic DT 990 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5506,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Açık Arka,—,Kablolu 3.5mm/6.35mm,—,
73,Tablet,Samsung Galaxy Tab S9+ Wi-Fi 256GB,Pro,Profesyonel Tasarım,Snapdragon 8 Gen 2,12GB,256GB,,12.4 inç Dynamic AMOLED 2X 120Hz,Android 14,38460,,,Hayır,Evet,IP68,,,,,,,,,
74,Bilgisayar,Lenovo ThinkPad X1 Carbon i7,İş İstasyonu,Yazılım Geliştirme,Intel Core i7-1365U,32GB,1TB SSD,Intel Iris Xe Graphics,14 inç 2K IPS 60Hz,Windows 11 Pro,68391,,,,,,,,,,,,,,
75,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,70864,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
76,Tablet,Microsoft Surface Pro 10 i7 512GB,Pro,İş,Intel Core Ultra 7 164U,32GB,512GB,,13 inç PixelSense Flow 120Hz,Windows 11 Pro,80355,,,Hayır,Evet,Yok,,,,,,,,,
77,Telefon,Google Pixel 9a 128GB,Üst Segment,Günlük Kullanım,Google Tensor G4,8GB,128GB,,6.1 inç OLED 120Hz,Android 15,26077,5100,48+13MP,Evet,Evet,IP67,,,,,,,,,
78,Kulaklık,Nothing Ear (open),Orta Segment,Günlük Kullanım,,,,,,,3066,,,,,,,Açık Tasarım TWS,16.5mm,20Hz-20kHz,Yok,3 mikrofon,Bluetooth 5.3,8 saat (kılıfla 30),
79,Tablet,Apple iPad Pro M4 11 Wi-Fi 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,50516,,,Hayır,Evet,IP68,,,,,,,,,
80,Bilgisayar,MacBook Pro M4 14 16GB,İş İstasyonu,Yazılım Geliştirme,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,14.2 inç Liquid Retina XDR 120Hz,macOS Sequoia,67958,,,,,,,,,,,,,,
81,Tablet,Apple iPad 10. nesil Wi-Fi 64GB,Orta Segment,Medya Tüketimi,Apple A14 Bionic,4GB,64GB,,10.9 inç IPS 60Hz,iPadOS 18,14943,,,Hayır,Evet,IP68,,,,,,,,,
82,Telefon,Samsung Galaxy S26 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite Gen 2,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,87128,5500,200+50+12+12MP,Evet,Evet,IP68,,,,,,,,,
83,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,56155,,,,,,,,,,,,,,
84,Telefon,iPhone 17 Pro 1TB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,1TB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,145949,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
85,Telefon,iPhone 16 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,69882,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
86,Kulaklık,Anker Soundcore Liberty 4 NC,Orta Segment,Bütçe Dostu,,,,,,,2026,,,,,,,TWS,11mm,20Hz-20kHz,Adaptif ANC,6 mikrofon,Bluetooth 5.3,10 saat (kılıfla 50),
87,Akıllı Saat / Bileklik,Samsung Galaxy Watch 8 44mm LTE,Üst Segment,Fitness & Spor,Exynos W1000,,,,,Wear OS 5,12987,,,,,5ATM,Evet,,,,,,,,40
88,Bilgisayar,MacBook Air M4 13 8GB 256GB,Üst Segment,Günlük Kullanım,Apple M4,8GB,256GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,45307,,,,,,,,,,,,,,
89,Telefon,iPhone 16 128GB,Amiral Gemisi,Günlük Kullanım,Apple A18,8GB,128GB,,6.1 inç Super Retina XDR OLED 60Hz,iOS 18,69630,3561,48+12MP,Evet,Evet,IP68,,,,,,,,,
90,Kulaklık,Nothing Ear (open),Orta Segment,Günlük Kullanım,,,,,,,2951,,,,,,,Açık Tasarım TWS,16.5mm,20Hz-20kHz,Yok,3 mikrofon,Bluetooth 5.3,8 saat (kılıfla 30),
91,Telefon,Samsung Galaxy A56 256GB,Üst Segment,Günlük Kullanım,Exynos 1580,8GB,256GB,,6.7 inç Super AMOLED 120Hz,Android 15,23581,5000,50+12+5MP,Evet,Evet,IP67,,,,,,,,,
92,Akıllı Saat / Bileklik,Xiaomi Watch S4 Sport,Orta Segment,Günlük Kullanım,Snapdragon W5,,,,,RTOS,5575,,,,,5ATM,Evet,,,,,,,,15
93,Telefon,Xiaomi 15 Ultra 512GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,16GB,512GB,,6.73 inç AMOLED 120Hz,Android 15,83888,5000,50+50+50+12MP,Evet,Evet,IP68,,,,,,,,,
94,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,56774,,,,,,,,,,,,,,
95,Telefon,Xiaomi 14T Pro 512GB,Üst Segment,Fotoğrafçılık,MediaTek Dimensity 9300+,12GB,512GB,,6.67 inç AMOLED 144Hz,Android 15,30033,5000,50+50+12MP,Evet,Evet,IP68,,,,,,,,,
96,Bilgisayar,HP Envy x360 14 Ryzen 7,Üst Segment,İçerik Üretimi,AMD Ryzen 7 7730U,16GB,512GB SSD,AMD Radeon Graphics,14 inç 2K IPS 90Hz,Windows 11 Home,33547,,,,,,,,,,,,,,
97,Telefon,iPhone 17 Pro 256GB,Amiral Gemisi,Fotoğrafçılık,Apple A19 Pro,8GB,256GB,,6.3 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,118826,3400,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
98,Akıllı Saat / Bileklik,Apple Watch SE 2 44mm GPS+Cellular,Orta Segment,Günlük Kullanım,Apple S8,,,,,watchOS 11,16714,,,,,WR50,Evet,,,,,,,,18
99,Akıllı Saat / Bileklik,Apple Watch Series 10 46mm GPS,Üst Segment,Fitness & Spor,Apple S10,,,,,watchOS 11,24464,,,,,WR50,Evet,,,,,,,,18
100,Kulaklık,Beyerdynamic DT 770 Pro,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,5051,,,,,,,Kulak Üstü Kablolu,45mm,5Hz-35kHz,Kapalı Tasarım,—,Kablolu 3.5mm/6.35mm,—,
101,Bilgisayar,MacBook Air M4 13 16GB 512GB,Üst Segment,İçerik Üretimi,Apple M4,16GB,512GB SSD,Apple M4 GPU 10-core,13.6 inç Liquid Retina 60Hz,macOS Sequoia,54647,,,,,,,,,,,,,,
102,Bilgisayar,HP Pavilion 15 i3,Bütçe,Ofis,Intel Core i3-1315U,8GB,256GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13674,,,,,,,,,,,,,,
103,Kulaklık,Shure AONIC 50 Gen 2,Premium & Hi-Fi,Stüdyo Kayıt,,,,,,,13887,,,,,,,Kulak Üstü Kablosuz,50mm,20Hz-22kHz,ANC,3 mikrofon,Bluetooth 5.0,20 saat,
104,Kulaklık,JBL Tour One M2,Üst Segment,Müzik Dinleme,,,,,,,8191,,,,,,,Kulak Üstü Kablosuz,40mm,20Hz-20kHz,Hibrit ANC,4 mikrofon,Bluetooth 5.3,30 saat,
105,Tablet,Apple iPad mini 7 Wi-Fi 128GB,Üst Segment,e-Kitap & Okuma,Apple A17 Pro,8GB,128GB,,8.3 inç Liquid Retina IPS 60Hz,iPadOS 18,21452,,,Hayır,Evet,IP68,,,,,,,,,
106,Telefon,Samsung Galaxy S25 128GB,Amiral Gemisi,Günlük Kullanım,Snapdragon 8 Elite,12GB,128GB,,6.2 inç Dynamic AMOLED 2X 120Hz,Android 15,46393,4000,50+12+10MP,Evet,Evet,IP68,,,,,,,,,
107,Telefon,Samsung Galaxy S25 Ultra 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.9 inç Dynamic AMOLED 2X 120Hz,Android 15,71978,5000,200+50+10+12MP,Evet,Evet,IP68,,,,,,,,,
108,Bilgisayar,Asus ROG Zephyrus G14 RTX 4070,Oyuncu,Oyun,AMD Ryzen 9 7940HS,16GB,1TB SSD,NVIDIA RTX 4070 8GB,14 inç QHD+ IPS 165Hz,Windows 11 Home,57147,,,,,,,,,,,,,,
109,Bilgisayar,HP Pavilion 15 i3,Bütçe,Ofis,Intel Core i3-1315U,8GB,256GB SSD,Intel UHD Graphics,15.6 inç FHD IPS 60Hz,Windows 11 Home,13422,,,,,,,,,,,,,,
110,Tablet,Apple iPad Pro M4 11 Wi-Fi 256GB,Pro,Profesyonel Tasarım,Apple M4,8GB,256GB,,11 inç Ultra Retina XDR OLED 120Hz,iPadOS 18,50502,,,Hayır,Evet,IP68,,,,,,,,,
111,Telefon,Sony Xperia 1 VII 256GB,Amiral Gemisi,Fotoğrafçılık,Snapdragon 8 Elite,12GB,256GB,,6.5 inç 4K OLED 120Hz,Android 15,62004,5000,52+12+12MP,Evet,Evet,IP65,,,,,,,,,
112,Telefon,Nothing Phone (3) 256GB,Üst Segment,Günlük Kullanım,Snapdragon 8s Gen 4,12GB,256GB,,6.77 inç LTPO AMOLED 120Hz,Android 15,28733,5000,50+50MP,Evet,Evet,IP54,,,,,,,,,
113,Kulaklık,Audio-Technica ATH-M50x,Üst Segment,Stüdyo Kayıt,,,,,,,6345,,,,,,,Kulak Üstü Kablolu,45mm,15Hz-28kHz,Pasif Yalıtım,—,Kablolu 3.5mm/6.35mm,—,
114,Akıllı Saat / Bileklik,Garmin Vivoactive 5,Orta Segment,Fitness & Spor,Garmin özel,,,,,Garmin OS,10856,,,,,5ATM,Evet,,,,,,,,11
115,Telefon,iPhone 17 Pro Max 256GB,Amiral Gemisi,Video İçerik Üretimi,Apple A19 Pro,8GB,256GB,,6.9 inç Super Retina XDR ProMotion OLED 120Hz,iOS 18,132210,4685,48+48+12MP,Evet,Evet,IP68,,,,,,,,,
